STORE_NBR,NCPDP_PROVIDER_ID,DISTRICT_NBR,REGION_NBR,OPERATION_NBR,STORE_TYPE,STORE_TYPE_DESC,RETAIL_CLINIC_IND,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE_ABBV,ZIP_CODE_5,COUNTY,OPEN_24_HOURS,LATITUDE,LONGITUDE
13,4022264,48,9,2,1,Regular,N,35 CALLE JUAN C BORBON,STE 77,GUAYNABO,PR,969,GUAYNABO,Y,18.36205993,-66.11958223
14,4022404,158,9,2,1,Regular,N,STATE ROAD 31 KM. 24.0,JUNCOS PLAZA SHOPPING CTR,JUNCOS,PR,777,JUNCOS,N,18.232146,-65.904723
16,5114222,39,12,4,1,Regular,N,4081 N OAKLAND AVE,N/A,SHOREWOOD,WI,53211,MILWAUKEE,N,43.091299,-87.887599
23,3200603,44,26,1,1,Regular,N,5001 MONTGOMERY BLVD NE,N/A,ALBUQUERQUE,NM,87109,BERNALILLO,Y,35.13358308,-106.5872038
30,4022276,158,9,2,1,Regular,N,400 AVE LA SIERRA,# 177,CUPEY,PR,926,SAN JUAN,N,18.36990803,-66.05826695
31,4022151,288,9,2,1,Regular,N,1 CALLE MARGINAL,STE 2,GUAYAMA,PR,784,GUAYAMA,N,17.97480144,-66.11646123
37,4017580,117,9,2,1,Regular,N,15 CARR 155,N/A,VEGA BAJA,PR,693,VEGA BAJA,N,18.44511901,-66.37694413
39,1401823,4,4,4,1,Regular,N,235 E PALATINE RD,N/A,ARLINGTON HEIGHTS,IL,60004,COOK,Y,42.10793451,-87.97985509
53,4023379,158,9,2,1,Regular,N,15 CARR 183,N/A,SAN LORENZO,PR,754,SAN LORENZO,N,18.183967,-65.966248
55,4000117,48,9,2,1,Regular,N,2505 CARR 841,N/A,GUAYNABO,PR,969,GUAYNABO,Y,18.37564001,-66.09408617
63,520951,126,11,1,1,Regular,N,900 RALSTON AVE,N/A,BELMONT,CA,94002,SAN MATEO,N,37.52047169,-122.2764194
74,1002562,114,6,2,1,Regular,N,1634 S FEDERAL HWY,N/A,BOYNTON BEACH,FL,33435,PALM BEACH,Y,26.51332346,-80.0587085
82,4022682,117,9,2,1,Regular,N,35 AVE LOS DOMINICOS,N/A,TOA BAJA,PR,949,TOA BAJA,Y,18.437589,-66.178099
89,1401885,173,10,4,1,Regular,N,8715 S HARLEM AVE,N/A,BRIDGEVIEW,IL,60455,COOK,N,41.73279621,-87.79761048
101,514542,293,11,1,1,Regular,N,3382 CASTRO VALLEY BLVD,N/A,CASTRO VALLEY,CA,94546,ALAMEDA,N,37.695699,-122.075499
105,4023204,48,9,2,1,Regular,N,100 CALLE COLINA REAL LAS COLINAS,N/A,TOA  BAJA,PR,949,TOA BAJA,N,18.404892,-66.223263
